time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-02T11:23:12.500Z,36.1435,140.2753,61.329,4.5,mb,29,148,1.715,0.51,us,us6000mgaw,2024-05-10T21:25:58.040Z,"4 km S of Ishioka, Japan",earthquake,6.39,6.39,0.139,15,reviewed,us,us
2024-03-02T00:44:45.518Z,34.6441,140.2021,10,4.4,mb,12,235,2.495,0.2,us,us7000m3wr,2024-05-10T21:26:01.040Z,"46 km SSE of Wada, Japan",earthquake,7.96,1.964,0.269,4,reviewed,us,us
2024-03-01T18:40:28.735Z,35.2833,140.2908,38.83,4.5,mb,102,107,2.105,0.8,us,us6000mg68,2024-05-10T21:25:57.040Z,"4 km E of Ōtaki, Japan",earthquake,6.68,6.055,0.062,83,reviewed,us,us
2024-03-01T18:38:47.061Z,35.2386,140.2935,27.278,4.5,mb,84,116,2.134,0.71,us,us6000mg5t,2024-05-10T21:25:57.040Z,"7 km SE of Ōtaki, Japan",earthquake,6.5,5.121,0.075,59,reviewed,us,us
2024-03-01T16:49:02.796Z,35.2435,140.4032,19.883,4.9,mww,77,108,2.178,0.78,us,us6000mg4v,2024-05-10T21:25:57.040Z,"1 km ESE of Ōhara, Japan",earthquake,6.56,3.713,0.068,21,reviewed,us,us
2024-02-29T20:43:16.110Z,35.371,140.632,23.083,5.1,mww,105,114,2.287,0.62,us,us6000mfxd,2024-05-10T21:25:56.040Z,"22 km E of Ichinomiya, Japan",earthquake,6.52,4.238,0.066,22,reviewed,us,us
2024-02-29T16:01:55.231Z,36.0453,140.0479,81.902,4.5,mb,39,134,1.566,0.96,us,us6000mfuz,2024-05-10T21:25:56.040Z,"6 km ENE of Mitsukaidō, Japan",earthquake,7.37,7.871,0.11,24,reviewed,us,us
2024-02-29T09:35:40.027Z,35.2877,140.5471,23.026,4.8,mww,110,83,2.251,0.88,us,us6000mfsp,2024-05-10T21:25:56.040Z,"14 km ENE of Ōhara, Japan",earthquake,4.82,3.775,0.11,8,reviewed,us,us
2024-02-29T07:27:22.092Z,35.2702,140.451,30.922,4.4,mwr,103,125,2.213,0.73,us,us6000mfs9,2024-05-10T21:25:56.040Z,"5 km ENE of Ōhara, Japan",earthquake,6.73,4.902,0.073,18,reviewed,us,us
2024-02-29T03:30:40.555Z,35.2728,140.6622,33.247,4.3,mwr,75,134,2.264,1.15,us,us6000mfri,2024-05-10T21:25:55.040Z,"24 km E of Ōhara, Japan",earthquake,6.97,5.372,0.08,15,reviewed,us,us
2024-02-29T02:13:09.202Z,35.3136,140.5341,29.002,4.4,mwr,101,117,2.25,0.79,us,us6000mfrb,2024-05-10T21:25:55.040Z,"14 km ENE of Ōhara, Japan",earthquake,6.54,5.239,0.078,16,reviewed,us,us
2024-02-28T23:42:49.599Z,35.2697,140.4478,46.224,4.3,mb,37,134,2.212,0.55,us,us6000mgq4,2024-05-10T21:25:59.040Z,"5 km ENE of Ōhara, Japan",earthquake,9.03,7.654,0.125,18,reviewed,us,us
2024-02-27T12:43:57.862Z,35.1566,140.6119,35,4.4,mb,52,143,2.141,0.29,us,us7000m1ud,2024-05-10T21:26:01.040Z,"22 km ESE of Ōhara, Japan",earthquake,6.99,1.912,0.1,29,reviewed,us,us
2024-02-22T22:48:07.995Z,33.6481,136.7858,379.006,4,mb,86,49,1.71,0.64,us,us7000m0yl,2024-05-02T15:50:12.040Z,"67 km ESE of Kumano, Japan",earthquake,9.15,6.414,0.068,58,reviewed,us,us
2024-02-22T11:31:02.490Z,32.3391,140.2112,92.552,4.5,mb,48,109,0.843,0.9,us,us7000m1vk,2024-05-02T15:50:14.040Z,"284 km SSE of Shimoda, Japan",earthquake,7.52,6.179,0.108,25,reviewed,us,us
2024-02-21T21:44:03.140Z,33.1212,137.8965,322.817,4.1,mb,73,88,1.583,0.66,us,us7000m0mu,2024-05-02T15:50:12.040Z,"166 km SE of Shima, Japan",earthquake,9.93,7.453,0.071,54,reviewed,us,us
2024-02-18T07:14:43.645Z,35.3874,140.027,97.462,4.5,mb,79,128,1.871,0.78,us,us7000lzyx,2024-04-24T14:42:05.040Z,"8 km E of Kisarazu, Japan",earthquake,4.39,6.74,0.072,57,reviewed,us,us
2024-02-16T09:52:13.278Z,36.0051,139.7102,60.439,4.4,mb,62,122,1.326,0.43,us,us7000lzkh,2024-04-24T14:42:03.040Z,"3 km SSW of Sugito, Japan",earthquake,4.64,6.813,0.083,42,reviewed,us,us
